1. питон это:,a)Машинно - ориентированным языком,b)Языком высокого уровня,c)Объектно -ориентированным языком,b
2. условный оператор?,a)выполняет команду только при условии истинности выражения,b)Область памяти имеющая собственное имя для размещения данных,c)Объект принимающий аргументы,a
3. Какие типы переменных существуют?,a)num,b)int,c)list,b
4. Что делает команда print?,a)Очищает список,b)выводит на консоль,c)Добавляет элемент в конец списка,b
5. Что делает команда append?,a)добовляет в список,b)Разворачивает список,c)Добавляет элемент в конец списка,a
6. Какой модуль генерирует случайные значения?,a)Random,b)Datetime,c)Math,a
7. строка это?,a)Неупорядоченная структура данных с доступом по ключу,b)Структура данных для хранения объектов различных типов,c)Упорядоченные последовательности символов используемые для хранения текстовой информации,c
8. Что делает команда len(S)?,a)Повторяет строку,b)Узнает длину строки,c)Переводит первый символ в верхний регистр,b
9. Что делает команда S1*3?,a)Повторяет строку,b)Узнает длину строки,c)Переводит первый символ в верхний регистр,a
10. Что делает объект reader?,a)Записывает данные,b)Читает данные,c)Удаляет данные,b
11. состав csv файла?,a)Из строк которые состоят из отдельных столбцов разделенных запятыми,b)Только из столбцов,c)Только из строк,a
12. Какой метод создает копию словаря?,a)dict.clear,b)dict.copy,c)dict.keys,b
13. язык высокого уровня?,a)Java,b)Ассемблер,c)Forth,a
14. язык низкого уровня?,a)Java,b)Python,c)Forth,c
15. какой результат? def add(x, y): return x + y print(1, 10), a) 9, b) 10, c) 11,c
16. Что делает объект writer?,a)Записывает данные,b)Читает данные,c)Удаляет данные,a
17. Какой метод создает копию словаря?,a)dict.clear,b)dict.copy,c)dict.keys,b
18. Что получится в результате? for number in range(10): if number % 2 == 0: print(number),a)01516, b)02468,c)12345,b
19. Что делает команда break?,a)Останавливает цикл,b)Повторяет цикл,c)Ничего не делает,a
20. словарь это?,a)Неупорядоченная структура данных с доступом по ключу,b)Структура данных для хранения объектов различных типов,c)Упорядоченные последовательности символов используемые для хранения текстовой информации,a
